Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Егор Франко",normal,17,Failed,"Golden Swag","Zone extraction_zone_zibbo","2","21:22:34","21:22:53",
Bot1,"Cesar Farnum",normal,19,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","21:22:34","21:24:42",
Bot1,"Cesar Farnum",normal,19,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","21:24:47","21:27:33",
Bot1,"Cesar Farnum",normal,19,Failed,"Tigr Safari","Zone place_peacemaker_002_N2","1","21:27:38","21:27:52",
Bot1,"Cesar Farnum",normal,19,Archived,"New Gas","New Gas: Objective #2","1","21:27:57","21:28:28",
Bot1,"Cesar Farnum",normal,19,Archived,"New Gas","New Gas: Objective #1","1","21:28:33","21:29:15",
Bot1,"Cesar Farnum",normal,19,Archived,"New Gas","New Gas: Objective #3","1","21:29:20","21:29:33",
Bot1,"Cesar Farnum",normal,19,Failed,"Power Switch","Power Switch: Objective #1","1","21:29:38","21:30:08",
Bot1,"Cesar Farnum",normal,19,Archived,"Short Cut","Short Cut: Objective #1","1","21:30:10","21:30:10",
Bot1,"Cesar Farnum",normal,19,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","21:30:16","21:31:40",
Bot1,"Cesar Farnum",normal,19,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","21:31:45","21:32:47",
Bot1,"Cesar Farnum",normal,19,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","21:32:52","21:33:07",
Bot1,"Cesar Farnum",normal,19,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #9","1","21:33:12","21:33:12",
Bot1,"Cesar Farnum",normal,19,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","21:33:17","21:33:44",
Bot1,"Cesar Farnum",normal,19,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","21:33:49","21:34:15",
Bot1,"Cesar Farnum",normal,19,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","21:34:20","21:35:47",
Bot1,"Cesar Farnum",normal,19,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","21:35:52","21:37:52",
Bot1,"Cesar Farnum",normal,19,Completed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","21:37:57","21:38:32",
Bot1,"Cesar Farnum",normal,19,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","21:38:37","21:38:59",
Bot3,"Hai Ruck",normal,15,Completed,"The Extortionist","Zone dead_posylni","1","21:22:34","21:22:52",
Bot3,"Hai Ruck",normal,15,Failed,"The Extortionist","Item Secure Folder 0048","1","21:22:57","21:25:07",
