Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot10,"Isaac Eichorn",normal,45,Completed,"Bullshit","Zone Q019_3","2","18:22:16","18:23:20",
Bot11,"Christoper Lemelle",normal,13,Pending,"Bad Rep Evidence","Item Secure Folder 0031","1","18:22:16","N/A",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","18:22:41","18:23:47",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"Storage","Storage: Objective #1","1","18:23:52","18:24:28",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"Storage","Storage: Objective #2","1","18:24:33","18:24:51",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"Storage","Storage: Objective #3","1","18:24:56","18:25:11",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"Storage","Storage: Objective #4","1","18:25:16","18:25:43",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"Storage","Storage: Objective #5","1","18:25:48","18:26:05",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"Storage","Storage: Objective #7","1","18:26:10","18:26:41",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"Storage","Storage: Objective #6","1","18:26:46","18:26:58",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","18:27:03","18:27:39",
Bot12,"Макар Локализатор (Enoch)",normal,1,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","18:27:44","18:29:11",
Bot12,"Макар Локализатор (Enoch)",normal,1,Active,"Fortress","Fortress: Objective #9","1","18:29:16","N/A",
Bot16,"Протасий Упырь (Colby)",normal,1,Completed,"Power Switch","Power Switch: Objective #1","2","18:24:41","18:25:04",
Bot16,"Протасий Упырь (Colby)",normal,1,Failed,"New Gas","New Gas: Objective #1","1","18:25:09","18:25:21",
Bot16,"Протасий Упырь (Colby)",normal,1,Failed,"New Gas","New Gas: Objective #3","1","18:25:26","18:25:26",
Bot16,"Протасий Упырь (Colby)",normal,1,Failed,"New Gas","New Gas: Objective #2","1","18:25:31","18:25:35",
Bot16,"Протасий Упырь (Colby)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","18:25:40","18:25:54",
Bot16,"Протасий Упырь (Colby)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","18:25:59","18:26:27",
Bot16,"Протасий Упырь (Colby)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","18:26:32","18:26:49",
Bot16,"Протасий Упырь (Colby)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","18:26:55","18:27:03",
Bot16,"Протасий Упырь (Colby)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","18:27:08","18:27:17",
Bot17,"Virgilio Haygood",normal,14,Completed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","18:24:43","18:26:17",
Bot17,"Virgilio Haygood",normal,14,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","18:26:22","18:26:29",
Bot17,"Virgilio Haygood",normal,14,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","18:26:35","18:26:35",
Bot17,"Virgilio Haygood",normal,14,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","18:26:40","18:26:40",
Bot17,"Virgilio Haygood",normal,14,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","18:26:45","18:26:45",
Bot17,"Virgilio Haygood",normal,14,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","18:26:50","18:26:50",
Bot17,"Virgilio Haygood",normal,14,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","18:26:55","18:26:55",
Bot17,"Virgilio Haygood",normal,14,Active,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","18:27:00","N/A",
Bot18,"Ефрем Бирюков",normal,30,Failed,"Bullshit","Item Flash drive with fake info","1","18:25:43","18:25:57",
Bot18,"Ефрем Бирюков",normal,30,Pending,"Bullshit","Zone Q019_3","2","18:26:03","N/A",
Bot19,"Юлиан Ловелас (Abraham)",normal,1,Failed,"Storage Building","Storage Building: Objective #2","1","18:26:34","18:26:49",
Bot19,"Юлиан Ловелас (Abraham)",normal,1,Failed,"Storage Building","Storage Building: Objective #1","1","18:26:54","18:26:58",
Bot19,"Юлиан Ловелас (Abraham)",normal,1,Completed,"Fortress","Fortress: Objective #3","1","18:27:03","18:29:21",
Bot19,"Юлиан Ловелас (Abraham)",normal,1,Completed,"Fortress","Fortress: Objective #6","1","18:29:26","18:29:44",
Bot19,"Юлиан Ловелас (Abraham)",normal,1,Active,"Fortress","Fortress: Objective #9","1","18:29:50","N/A",
Bot22,"Михей Солодников",normal,17,Failed,"Old Gas","Old Gas: Objective #1","1","18:27:02","18:28:49",
Bot24,"Сашок Везунчик (Lanny)",normal,1,Completed,"Container Building","Container Building: Objective #1","1","18:27:43","18:28:14",
Bot24,"Сашок Везунчик (Lanny)",normal,1,Completed,"Container Building","Container Building: Objective #2","1","18:28:19","18:28:30",
Bot24,"Сашок Везунчик (Lanny)",normal,1,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","18:28:35","18:29:05",
Bot24,"Сашок Везунчик (Lanny)",normal,1,Active,"Old Gas","Old Gas: Objective #2","1","18:29:10","N/A",
Bot25,"Herb Zubia",normal,25,Failed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","18:27:54","18:29:36",
Bot25,"Herb Zubia",normal,25,Active,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","18:29:41","N/A",
Bot26,"Колян Центровой (Young)",normal,1,Completed,"Old Gas","Old Gas: Objective #1","1","18:28:03","18:28:12",
Bot26,"Колян Центровой (Young)",normal,1,Completed,"Old Gas","Old Gas: Objective #2","1","18:28:17","18:28:29",
Bot26,"Колян Центровой (Young)",normal,1,Completed,"Giving Tree","Giving Tree: Objective #1","1","18:28:34","18:28:58",
Bot26,"Колян Центровой (Young)",normal,1,Completed,"Porta Potty","Porta Potty: Objective #1","1","18:29:03","18:29:33",
