Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Adrian Greenawalt",normal,20,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","15:52:35","15:53:16",
Bot1,"Adrian Greenawalt",normal,20,Failed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","15:53:21","15:58:05",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Perimeter","Smuggler's Base Perimeter: Objective #4","2","15:52:35","15:53:49",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Perimeter","Smuggler's Base Perimeter: Objective #3","2","15:53:54","15:55:45",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Perimeter","Smuggler's Base Perimeter: Objective #2","2","15:55:50","15:57:38",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Perimeter","Smuggler's Base Perimeter: Objective #1","2","15:57:43","16:00:49",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #2","1","16:00:54","16:00:56",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #3","1","16:01:01","16:01:25",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #4","1","16:01:30","16:01:44",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #5","1","16:01:49","16:02:00",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #6","1","16:02:05","16:02:27",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #8","1","16:02:33","16:02:43",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #9","1","16:02:48","16:02:55",
Bot2,"Alan Danna",normal,9,Failed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #1","1","16:03:01","16:03:09",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #7","1","16:03:14","16:03:32",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base VEX Buildings","Smuggler's Base VEX Buildings: Objective #1","1","16:03:38","16:04:51",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base VEX Buildings","Smuggler's Base VEX Buildings: Objective #3","1","16:04:56","16:05:04",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base VEX Buildings","Smuggler's Base VEX Buildings: Objective #2","1","16:05:09","16:05:22",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base VEX Buildings","Smuggler's Base VEX Buildings: Objective #4","1","16:05:27","16:05:38",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #6","1","16:05:43","16:06:51",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #7","1","16:06:56","16:07:01",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #5","1","16:07:06","16:07:18",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #1","1","16:07:23","16:07:29",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #8","1","16:07:34","16:07:41",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #4","1","16:07:46","16:08:03",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #2","1","16:08:08","16:08:20",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #3","1","16:08:25","16:08:47",
Bot2,"Alan Danna",normal,9,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #10","1","16:08:52","16:09:04",
Bot2,"Alan Danna",normal,9,Completed,"Fountain","Fountain: Objective #1","2","16:09:09","16:10:22",
Bot6,"Самуил Юшаков",normal,4,Failed,"Tunnel Camping","Tunnel Camping: Objective #1","1","15:52:35","15:55:21",
Bot3,"Егор Комолов",normal,21,Completed,"Wet Job - Part 4","Item Sliderkey Flash drive","1","15:52:35","15:53:37",
Bot3,"Егор Комолов",normal,21,Completed,"Health Care Privacy - Part 2","Item Secure Folder 0060","1","15:53:42","15:54:35",
Bot5,"Феликс Сапогов",normal,28,Failed,"Health Care Privacy - Part 1","Zone ter_013_area_2","1","15:52:35","15:52:36",
Bot5,"Феликс Сапогов",normal,28,Failed,"Health Care Privacy - Part 1","Zone ter_013_area_1","1","15:52:41","15:52:49",
Bot5,"Феликс Сапогов",normal,28,Failed,"Health Care Privacy - Part 1","Zone ter_013_area_3","1","15:52:54","15:59:35",
Bot5,"Феликс Сапогов",normal,28,Archived,"Resort Sniping","Resort Sniping: Objective #1","4","15:59:40","16:03:30",
Bot5,"Феликс Сапогов",normal,28,Archived,"Helicoperter Shack","Helicoperter Shack: Objective #1","1","16:03:35","16:04:06",
Bot5,"Феликс Сапогов",normal,28,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #6","1","16:04:11","16:04:49",
Bot5,"Феликс Сапогов",normal,28,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #7","1","16:04:54","16:05:04",
Bot5,"Феликс Сапогов",normal,28,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #3","1","16:05:09","16:08:32",
Bot5,"Феликс Сапогов",normal,28,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #2","1","16:08:37","16:09:25",
Bot5,"Феликс Сапогов",normal,28,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #1","1","16:09:30","16:10:13",
Bot5,"Феликс Сапогов",normal,28,Active,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #6","1","16:10:18","N/A",
Bot4,"Сильвестр Паулкин",normal,12,Completed,"The Cult - Part 1","Zone place_peacemaker_007_1_N1","1","15:52:35","15:52:54",
Bot4,"Сильвестр Паулкин",normal,12,Completed,"Eagle Eye","Item UAV SAS disk #2","1","15:52:59","15:57:14",
Bot4,"Сильвестр Паулкин",normal,12,Active,"Eagle Eye","Zone place_peacemaker_004_N1","1","15:57:19","N/A",
