Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Cameron Ruggiero",normal,23,Completed,"Crane Sniping","Crane Sniping: Objective #2","2","15:33:47","15:35:28",
Bot2,"Cameron Ruggiero",normal,23,Completed,"Crane Sniping","Crane Sniping: Objective #1","2","15:35:33","15:36:33",
Bot2,"Cameron Ruggiero",normal,23,Completed,"Crane Sniping","Crane Sniping: Objective #3","2","15:36:34","15:41:55",
Bot2,"Cameron Ruggiero",normal,23,Completed,"Crane","Crane: Objective #2","1","15:42:00","15:42:50",
Bot2,"Cameron Ruggiero",normal,23,Completed,"Crane","Crane: Objective #1","1","15:42:55","15:43:19",
Bot2,"Cameron Ruggiero",normal,23,Active,"Crane Sniping","Crane Sniping: Objective #4","2","15:43:24","N/A",
Bot1,"Shannon Daggett",normal,6,Completed,"Radio Tower","Radio Tower: Objective #1","2","15:33:47","15:35:44",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #8","1","15:35:49","15:39:03",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #1","1","15:39:08","15:39:17",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #4","1","15:39:23","15:39:32",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #3","1","15:39:37","15:39:41",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #2","1","15:39:47","15:39:50",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #7","1","15:39:55","15:40:04",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #5","1","15:40:10","15:40:14",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #10","1","15:40:19","15:40:34",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #9","1","15:40:39","15:40:43",
Bot1,"Shannon Daggett",normal,6,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #6","1","15:40:48","15:41:14",
Bot1,"Shannon Daggett",normal,6,Failed,"Smuggler's Base Perimeter","Smuggler's Base Perimeter: Objective #5","1","15:41:19","15:41:29",
