Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Эдуард Гаврилов",normal,25,Failed,"Supply Plans","Item Secure Folder 0052","1","20:25:56","20:28:28",
Bot3,"Леонид Грушанин",normal,18,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","20:25:56","20:26:03",
Bot3,"Леонид Грушанин",normal,18,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","20:26:09","20:26:23",
Bot3,"Леонид Грушанин",normal,18,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","20:26:28","20:29:40",
Bot4,"Marcel Widman",normal,19,Completed,"Sunken Village","Sunken Village: Objective #2","1","20:25:56","20:26:22",
Bot4,"Marcel Widman",normal,19,Completed,"Sunken Village","Sunken Village: Objective #3","1","20:26:27","20:26:55",
Bot4,"Marcel Widman",normal,19,Completed,"Sunken Village","Sunken Village: Objective #1","1","20:27:00","20:27:46",
Bot4,"Marcel Widman",normal,19,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","20:27:51","20:28:20",
Bot4,"Marcel Widman",normal,19,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","20:28:25","20:32:32",
Bot4,"Marcel Widman",normal,19,Active,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","3","20:32:37","N/A",
Bot8,"Erasmo Peralta",normal,25,Completed,"Steady Signal","Zone q14_8_4","1","20:25:58","20:26:44",
Bot8,"Erasmo Peralta",normal,25,Failed,"Steady Signal","Zone q14_8_5","1","20:26:49","20:30:32",
Bot9,"Pablo Fritz",normal,14,Failed,"Scav House Sniping","Scav House Sniping: Objective #2","2","20:25:58","20:31:17",
Bot7,"Иосиф Хлебников",normal,68,Completed,"Return the Favor","Zone place_keeper5_1","2","20:25:58","20:27:08",
Bot7,"Иосиф Хлебников",normal,68,Completed,"Return the Favor","Zone place_keeper5_2","2","20:27:14","20:28:22",
Bot7,"Иосиф Хлебников",normal,68,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","20:28:27","20:30:37",
Bot7,"Иосиф Хлебников",normal,68,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","20:30:42","N/A",
Bot11,"Василий Сиянович",normal,38,Pending,"The Blood of War - Part 3","Zone bar_fuel3_3","1","20:25:59","N/A",
Bot10,"Сергей Козловский",normal,23,Completed,"Steady Signal","Zone q14_8_3","1","20:25:59","20:26:24",
Bot10,"Сергей Козловский",normal,23,Completed,"Steady Signal","Zone q14_8_2","1","20:26:30","20:28:40",
Bot10,"Сергей Козловский",normal,23,Completed,"Steady Signal","Zone q14_8_5","1","20:28:45","20:32:25",
Bot10,"Сергей Козловский",normal,23,Active,"Scav Base","Scav Base: Objective #2","1","20:32:30","N/A",
