Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Louis Eckman",normal,34,Failed,"Scav Base","Scav Base: Objective #2","4","19:22:07","19:25:20",
Bot1,"Chang Tsang",normal,20,Completed,"Steady Signal","Zone q14_8_3","1","19:22:07","19:22:34",
Bot1,"Chang Tsang",normal,20,Completed,"Steady Signal","Zone q14_8_2","1","19:22:39","19:25:21",
Bot1,"Chang Tsang",normal,20,Completed,"Steady Signal","Zone q14_8_5","1","19:25:26","19:29:38",
Bot1,"Chang Tsang",normal,20,Completed,"Health Care Privacy - Part 3","Zone ter_015_area_1","1","19:29:43","19:33:55",
Bot1,"Chang Tsang",normal,20,Completed,"Health Care Privacy - Part 3","Item Blood sample","1","19:34:01","19:34:08",
Bot1,"Chang Tsang",normal,20,Active,"Supply Plans","Item Secure Folder 0052","1","19:34:13","N/A",
Bot4,"Floyd Rockey",normal,25,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","19:22:07","19:29:47",
Bot3,"Claude Kail",normal,33,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","19:22:07","19:22:15",
Bot3,"Claude Kail",normal,33,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","19:22:20","19:26:55",
Bot3,"Claude Kail",normal,33,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","19:27:00","19:28:07",
Bot3,"Claude Kail",normal,33,Failed,"Chumming","Zone place_skier_12_3","1","19:28:12","19:29:41",
Bot7,"Erich Nakashima",normal,12,Archived,"Scav Base","Scav Base: Objective #4","2","19:22:13","19:22:50",
Bot7,"Erich Nakashima",normal,12,Archived,"Scav Base","Scav Base: Objective #1","4","19:22:55","19:23:53",
Bot7,"Erich Nakashima",normal,12,Archived,"Scav Base","Scav Base: Objective #3","1","19:23:58","19:24:17",
Bot7,"Erich Nakashima",normal,12,Archived,"Scav Base","Scav Base: Objective #2","4","19:24:22","19:26:26",
Bot7,"Erich Nakashima",normal,12,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","19:26:31","19:27:41",
Bot7,"Erich Nakashima",normal,12,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","19:27:46","19:28:16",
Bot7,"Erich Nakashima",normal,12,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","19:28:21","19:28:41",
Bot7,"Erich Nakashima",normal,12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","19:28:46","19:29:13",
Bot7,"Erich Nakashima",normal,12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #2","2","19:29:18","19:30:36",
Bot7,"Erich Nakashima",normal,12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","19:30:41","19:30:45",
Bot7,"Erich Nakashima",normal,12,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","19:30:50","19:31:43",
Bot7,"Erich Nakashima",normal,12,Completed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","4","19:31:48","19:32:48",
Bot7,"Erich Nakashima",normal,12,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","19:32:53","19:36:00",
Bot8,"Mac John",normal,16,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","19:22:13","19:23:02",
Bot8,"Mac John",normal,16,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","19:23:07","19:23:42",
Bot8,"Mac John",normal,16,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","19:23:47","19:24:20",
Bot8,"Mac John",normal,16,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","19:24:25","19:25:12",
